iso3,gpcp,year,lgpcp,lgpcp_l,lgpcp_l2,lgpcp_l3,lgpcp_l4
AGO,1118.2797643164263,2005,7.01954685883012,6.981271468722113,,,
AGO,1231.1777739451177,2006,7.115726530010455,7.01954685883012,6.981271468722113,,
AGO,1218.1676609831889,2007,7.105103091492137,7.115726530010455,7.01954685883012,6.981271468722113,
AGO,1075.661546515107,2008,6.980691143392765,7.105103091492137,7.115726530010455,7.01954685883012,6.981271468722113
AGO,1256.7900738266405,2009,7.136316188936512,6.980691143392765,7.105103091492137,7.115726530010455,7.01954685883012
AGO,1135.8155147832852,2010,7.035106187134582,7.136316188936512,6.980691143392765,7.105103091492137,7.115726530010455
AGO,1141.4784605603122,2011,7.040079596374661,7.035106187134582,7.136316188936512,6.980691143392765,7.105103091492137
AGO,1084.8627564749395,2012,6.98920876624564,7.040079596374661,7.035106187134582,7.136316188936512,6.980691143392765
AGO,956.1846375941495,2013,6.862951029961864,6.98920876624564,7.040079596374661,7.035106187134582,7.136316188936512
AGO,1013.971258739814,2014,6.921629839311364,6.862951029961864,6.98920876624564,7.040079596374661,7.035106187134582
AGO,1020.5605264434416,2015,6.928107291067717,6.921629839311364,6.862951029961864,6.98920876624564,7.040079596374661
AGO,1091.814656933249,2016,6.995596413816304,6.928107291067717,6.921629839311364,6.862951029961864,6.98920876624564
AGO,1140.5015618819389,2017,7.039223411194736,6.995596413816304,6.928107291067717,6.921629839311364,6.862951029961864
AGO,1051.7629507184383,2018,6.958223035889889,7.039223411194736,6.995596413816304,6.928107291067717,6.921629839311364
AGO,1133.7008669768047,2019,7.033242663755381,6.958223035889889,7.039223411194736,6.995596413816304,6.928107291067717
AGO,918.6649722819295,2020,6.822921499068161,7.033242663755381,6.958223035889889,7.039223411194736,6.995596413816304
AGO,903.8954167117886,2021,6.8067136642215225,6.822921499068161,7.033242663755381,6.958223035889889,7.039223411194736
AGO,1004.6217048180406,2022,6.912366336515599,6.8067136642215225,6.822921499068161,7.033242663755381,6.958223035889889
AGO,1013.8878983461829,2023,6.921547624140368,6.912366336515599,6.8067136642215225,6.822921499068161,7.033242663755381
AGO,945.2384642803866,2024,6.8514372388144125,6.921547624140368,6.912366336515599,6.8067136642215225,6.822921499068161
BDI,1288.0452488958836,2005,7.1608810371775595,7.367309969928669,,,
BDI,1672.6217395067215,2006,7.42214757829613,7.1608810371775595,7.367309969928669,,
BDI,1560.637123465538,2007,7.3528494293438165,7.42214757829613,7.1608810371775595,7.367309969928669,
BDI,1613.5799496769905,2008,7.386210560730494,7.3528494293438165,7.42214757829613,7.1608810371775595,7.367309969928669
BDI,1435.5956355333328,2009,7.269335119099796,7.386210560730494,7.3528494293438165,7.42214757829613,7.1608810371775595
BDI,1479.3483902812004,2010,7.2993569929708295,7.269335119099796,7.386210560730494,7.3528494293438165,7.42214757829613
BDI,1783.2837059497833,2011,7.486211722395351,7.2993569929708295,7.269335119099796,7.386210560730494,7.3528494293438165
BDI,1452.7309302687645,2012,7.281200464225635,7.486211722395351,7.2993569929708295,7.269335119099796,7.386210560730494
BDI,1383.4976122379303,2013,7.232370073340367,7.281200464225635,7.486211722395351,7.2993569929708295,7.269335119099796
BDI,1319.915943801403,2014,7.185323334614496,7.232370073340367,7.281200464225635,7.486211722395351,7.2993569929708295
BDI,1582.192809998989,2015,7.366567018270934,7.185323334614496,7.232370073340367,7.281200464225635,7.486211722395351
BDI,1528.0785493850708,2016,7.331766375070811,7.366567018270934,7.185323334614496,7.232370073340367,7.281200464225635
BDI,1342.7452079057693,2017,7.202471459913641,7.331766375070811,7.366567018270934,7.185323334614496,7.232370073340367
BDI,1364.959793806076,2018,7.218880252098127,7.202471459913641,7.331766375070811,7.366567018270934,7.185323334614496
BDI,1337.889674037695,2019,7.198848781412339,7.218880252098127,7.202471459913641,7.331766375070811,7.366567018270934
BDI,1241.1410104185343,2020,7.123786405194845,7.198848781412339,7.218880252098127,7.202471459913641,7.331766375070811
BDI,1246.6250529885292,2021,7.128195221227619,7.123786405194845,7.198848781412339,7.218880252098127,7.202471459913641
BDI,1219.8018016815186,2022,7.106443666891531,7.128195221227619,7.123786405194845,7.198848781412339,7.218880252098127
BDI,1270.0806036293507,2023,7.1468356448633505,7.106443666891531,7.128195221227619,7.123786405194845,7.198848781412339
